,,t=0,,,t = 0.1,,,t = 0.2,,,t=0.3,,,t=0.4,,,t=0.5,,,t=0.6,,,t=0.7,,,t=0.8,,,t=0.9,
,,Neural Network,Analytical Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,
x = ,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
1,,0.342020143,0.342020143,,0.237959409,0.114233765,,0.145330669,0.038153756,,0.069446609,0.012743247,,0.014561289,0.004256209,,-0.017626595,0.001421562,,-0.028863171,0.000474798,,-0.024301862,0.000158581,,-0.011074342,5.30E-05,,0.004362078,1.77E-05
2,,0.64278761,0.64278761,,0.448763369,0.214689253,,0.275691481,0.071705606,,0.133853702,0.023949471,,0.031977689,0.007999056,,-0.026512911,0.002671662,,-0.046179492,0.000892328,,-0.038860615,0.000298035,,-0.018956885,9.95E-05,,0.002299812,3.32E-05
3,,0.866025404,0.866025404,,0.606397029,0.289250048,,0.374676787,0.096608702,,0.184989576,0.032267035,,0.04967631,0.010777099,,-0.026878606,0.003599521,,-0.052588841,0.00120223,,-0.045340755,0.000401541,,-0.02466313,0.000134114,,-0.004203717,4.48E-05
4,,0.984807753,0.984807753,,0.690826971,0.328923018,,0.428776967,0.109859362,,0.214890637,0.036692718,,0.063304565,0.012255265,,-0.021850866,0.004093224,,-0.051360404,0.001367125,,-0.046616616,0.000456616,,-0.029096143,0.000152508,,-0.012795412,5.09E-05
5,,0.984807753,0.984807753,,0.6909438,0.328923018,,0.429954283,0.109859362,,0.218050318,0.036692718,,0.068861129,0.012255265,,-0.014781223,0.004093224,,-0.045010686,0.001367125,,-0.043372072,0.000456616,,-0.030312149,0.000152508,,-0.018730021,5.09E-05
6,,0.866025404,0.866025404,,0.606390651,0.289250048,,0.37723217,0.096608702,,0.192540852,0.032267035,,0.063387775,0.010777099,,-0.008972568,0.003599521,,-0.035859838,0.00120223,,-0.035875172,0.000401541,,-0.026255918,0.000134114,,-0.017899435,4.48E-05
7,,0.64278761,0.64278761,,0.44793901,0.214689253,,0.277404086,0.071705606,,0.14113124,0.023949471,,0.046440189,0.007999056,,-0.006473853,0.002671662,,-0.026043819,0.000892328,,-0.025663255,0.000298035,,-0.017870732,9.95E-05,,-0.010852124,3.32E-05
8,,0.342020143,0.342020143,,0.236357305,0.114233765,,0.144784554,0.038153756,,0.07222903,0.012743247,,0.022090906,0.004256209,,-0.005719394,0.001421562,,-0.015486198,0.000474798,,-0.014111621,0.000158581,,-0.008322539,5.30E-05,,-0.00275135,1.77E-05
9,,1.22E-16,1.22E-16,,1.09E-16,4.09E-17,,9.53E-17,1.37E-17,,8.16E-17,4.56E-18,,6.80E-17,1.52E-18,,5.44E-17,5.09E-19,,4.08E-17,1.70E-19,,2.72E-17,5.68E-20,,1.36E-17,1.90E-20,,0,6.33E-21
